Organisation,CountryName,CityName,C40,ReportingYear,Sector,TargetBoundary,BaselineYear,BaselineEmissions,PercentageReductionTarget,TargetDate,Comment,CityLocation
City of Helsinki,Finland,Helsinki,,2016,Total,"per capita emissions based on energy consumption, transport and waste management",1990,3615000,39,2030,Climate strategy for the metropolitan area. Target achieved in 2014.,"(60.1733244, 24.9410248)"
City of Helsinki,Finland,Helsinki,,2016,Total,"Energy consumption in the area, transport emissions, waste water management",1990,3615000,20,2020,"City's energy policy lines, Covenant of Mayors. Target achieved in 2013.","(60.1733244, 24.9410248)"
City of Lahti,Finland,Lahti,,2016,Buildings,"Energy production (electricity and heating)
Energy effiency
Waste treatment
Traffic
Residents's attitudes",1990,747000,35,2020,In the City strategy: -50% by 2015 (from 1990 level),"(60.9833, 25.65)"
City of Leicester,United Kingdom,Leicester,,2016,Other,Within the scope of the local authority,1990,2388300,50,2025,"Transport, domestic electricity and gas use, and industrial electricity and gas use","(52.6333, -1.1333)"
City of Lisbon,Portugal,Lisbon,,2016,Other,,2002,3887013,20,2020,,"(38.7222524, -9.1393366)"
City of Porto,Portugal,Porto,,2016,Total,Community emissions,2004,1300000,45,2020,Sustainable Energy Action Plan reduction target. Reductions from action at a local level (demand management) and national level (supply management).,"(41.1579438, -8.6291053)"
City of Reykjavík,Iceland,Reykjavík,,2016,Total,"Transportation, land use and waste",2007,339990,35,2020,,"(64.12652, -21.81744)"
City of Reykjavík,Iceland,Reykjavík,,2016,Total,"Transportation, land use and waste",2007,339990,73,2050,,"(64.12652, -21.81744)"
City of Turku,Finland,Turku,,2016,Total,"all, but only scopes 1 and 2 are actually measured",2013,1107500,100,2040,"In 2014 ambitious target was set by the city council, which aims to make Turku carbon-neutral by 2040.","(60.4518126, 22.2666303)"
City of Wroclaw,Poland,City of Wroclaw,,2016,Total,,1990,6988259,21,2020,,"(51.107885, 17.038538)"
City of Zaragoza,Spain,Zaragoza,,2016,Other,Sectores industrial y primario,2010,1237553,20,2020,,"(41.608629, -0.887012)"
Comune di Bologna,Italy,Bologna,,2016,Other,City Energy consumption,2005,2288510,21,2020,4%  reduction obetained at  the end of 2010,"(44.4856087, 11.3547975)"
Comune di Bolzano,Italy,Bolzano,,2016,Total,,2010,520715,23,2020,,"(46.499681, 11.356576)"
Comune di Ferrara,Italy,Ferrara,,2016,Total,"buildings, equipment, facilities and industries; transport; waste management, waste water management, othe emissions (agricolture and other sources)",2007,1582605.13,25.5,2020,,"(44.8357395, 11.6189949)"
Comune di Genova,Italy,Genova,,2016,Other,SEAP,2005,2215759,23,2020,,"(44.347961, 9.318415)"
Comune di Padova,Italy,Padova,,2016,Total,Total inventory (sectors and specific projects see below),2005,1892158,20,2020,"In addition to the emission-reducing activities mentioned below, the emission-reducing activities on local government level are part of the total reduction aim of 20%.","(45.406958, 11.876386)"
City of Ann Arbor,USA,Ann Arbor,,2016,,,2000,,80,2050,,"(42.2808, -83.743)"
Comune di Piacenza,Italy,Piacenza,,2016,,,1990,263270,20.4,2020,"The emission reduction is calculated with respect to the reference scenario (BAU) in 2020.
Were considered only CO2 emissions related to the areas of competence of the Municipality of Piacenza.","(45.0519969, 9.6926451)"
Comune di Ravenna,Italy,Ravenna,,2016,Total,Entire emissions inventory,2007,1683317.65,23.9,2020,This target is related to CO2 emission and was set in the Covenant of Mayors. The target is applied to the whole CO2 emissions including together Local Government Operations and Community.,"(41.913028, 12.518037)"
Comune di Udine,Italy,Udine,,2016,Total,"electricity production, agriculture, transports, industry,  commercial and residential",2006,692479,20,2020,,"(46.0667, 13.2333)"
Dublin City Council,Ireland,Dublin,,2016,Total,all,2006,5054000,20,2020,,"(53.344479, -6.270843)"
Free and Hanseatic City of Hamburg,Germany,Hamburg,,2016,Total,CO2,1990,20727000,80,2050,,"(53.5510846, 9.9936818)"
Free and Hanseatic City of Hamburg,Germany,Hamburg,,2016,Total,CO2,1990,20727000,50,2030,,"(53.5510846, 9.9936818)"
City of Stockholm,Sweden,Stockholm,C40,2016,Other,"CO2, CH4, N20 and Energy for heating and cooling, electricity use and Energy for transport",1990,3668000,100,2040,Roadmap to a Fossil free-fuel Stockholm 2050 (being updated to 2040) according to Stockhom City's budget.,"(59.3293235, 18.0685808)"
Funchal,Portugal,Funchal,,2016,Total,"The Municipality will intervene in several fields such as buildings, electricity, primary, secundary and tertiary sector, transportation, land planning, among other.",2010,515593,20,2020,"The Municipality is a member of the Covenant of Mayors, an european compromise to reduce the CO2 levels in 20%.","(32.666933, -16.924055)"
Gdańsk,Poland,Gdańsk,,2016,Total,"The energy sector (actions independent of the local government); The construction sector (including households, public buildings, etc.); Transportation, environmental education, other activities.",2013,3551302,21,2020,,"(54.352025, 18.646638)"
Gladsaxe Kommune,Denmark,Gladsaxe Kommune,,2016,Total,Total municipal inventory,2007,499740,20,2020,,"(55.733461, 12.488686)"
Glasgow City Council,United Kingdom,Glasgow,,2016,,,2006,39873000,30,2020,,"(55.859272, -4.212783)"
Greater Manchester,United Kingdom,Manchester,,2016,Total,"Direct emissions from road transport and rail, and domestic and industrial emissions from electricity (end user) gas, oil and solid fuels, as well as emissions from land use, land use change, and forestry",1990,21200000,48,2020,"See Climate Change and Low Emission Strategies’
Whole Place Implementation Plan for Greater Manchester
(2016-2020) (attached for detailed actions.","(53.4575955, -2.1578377)"
Hoeje-Taastrup Kommune,Denmark,Hoeje-Taastrup Kommune,,2016,Total,,2012,310000,98,2050,"until 2020 3 % reduction per year
2035 Fossil free electricity and heating supply
2050 Fossil free electricity and heating supply and the transport sector
2050 98 % reduction (baseline 2012)","(55.656328, 12.2898)"
Hørsholm Kommune,Denmark,Hørsholm Kommune,,2016,Total,,2010,182657,20,2020,,"(55.883514, 12.504924)"
Landeshauptstadt Magdeburg,Germany,Landeshauptstadt Magdeburg,,2016,Total,,1990,3955000,95,2050,"GHG sources to
which the target applies:
CO2-City-wide

Solutions of the municipal council","(52.08889, 11.586164)"
Landeshauptstadt Magdeburg,Germany,Landeshauptstadt Magdeburg,,2016,Total,,2012,1406000,86,2050,"GHG sources to
which the target applies:
CO2-City-wide

Solutions of the municipal council","(52.08889, 11.586164)"
Município de Moita,Portugal,Moita,,2016,Total,Entire local government inventory,2008,15177,20,2020,,"(41.30284, -8.65731)"
Sonderborg Kommune,Denmark,Sonderborg Kommune,,2016,Total,,2007,180500,25,2015,,"(54.913811, 9.792178)"
Sonderborg Kommune,Denmark,Sonderborg Kommune,,2016,Total,,2007,361000,50,2020,,"(54.913811, 9.792178)"
Sonderborg Kommune,Denmark,Sonderborg Kommune,,2016,,,2007,722000,100,2029,,"(54.913811, 9.792178)"
City of Ann Arbor,USA,Ann Arbor,,2016,,,2000,,25,2025,,"(42.2808, -83.743)"
Stadt Zürich,Switzerland,Stadt Zürich,,2016,Other,Baseline emissions: 5.5 tonnes CO2e per person per year (in the year 2005); according to 2000-Watt-methodology,2005,,28,2020,"The baseline emission and the target emission are measured in tonnes CO2e per person per year.

Target for 2050: 1.0 tonnes CO2e per person (18% of 2005)
Target for 2035: 2.5 tonnes CO2e per person (45% of 2005)
Target for 2020: 4.0 tonnes CO2e per person (72% of 2005)","(47.3686498, 8.5391825)"
Stadt Zürich,Switzerland,Stadt Zürich,,2016,,,2005,,55,2035,,"(47.3686498, 8.5391825)"
Stadt Zürich,Switzerland,Stadt Zürich,,2016,,,2005,,82,2050,,"(47.3686498, 8.5391825)"
City of Oslo,Norway,Oslo,C40,2016,Total,"CO2, CH4, N2O,",1991,1200000,95,2030,"With a new City government in office from september 2015, the GHG-target was expedited from 2050 to 2030.","(59.9138688, 10.7522454)"
Tarnów,Poland,Tarnów,,2016,Total,"Reduction of GHG, mainly CO2 by lowering energy use and more efficient use of renewable energy sources. It applies to investment processes and other, in sectors such as: exploitation of private and public buildings, city lights and public transport functions, municipal economy and industry, local power engineering, both conventional and based on renewable energy sources.",2013,20232,8.46,2020,Data based on plan mentioned in 7.1. a - row 3,"(50.012101, 20.985841)"
Tbilisi City,Georgia,Tbilisi,,2016,,transport; buildings; outdoor lighting; landfills; Waste water; gas & electricity distribution.,2010,,24,2020,,"(41.715138, 44.827096)"
The Hague,Netherlands,The Hague,,2016,"Other: Domestic buildings, industry and other businesses (including non-domestic buildings), traffic and waste treatment.",,1990,2499,30,2020,,"(52.070498, 4.3007)"
The Hague,Netherlands,The Hague,,2016,"Other: Domestic buildings, industry and other businesses (including non-domestic buildings), traffic and waste treatment.",,1990,2499,100,2040,,"(52.070498, 4.3007)"
City of Minneapolis,USA,Minneapolis,,2016,Total,"scope 1, scope 2 and some scope 3",2006,5700000,15,2015,,"(44.983334, -93.26667)"
Torres Vedras Municipality,Portugal,"Torres Vedras ",,2016,Total,"Transports, buildings, local energy production",2009,268064,29,2020,"Torres Vedras SEAP is an integrated plan to reduce emissions of the community and local government operations, the amount provided for emission reduction is a global value. In the plan are set 61 actions for the community and the local government operations.","(38.763669, -9.30148)"
Village of Kadiovacik,Turkey,Kadiovacik,,2016,Total,,2014,467.45,4,2016,,"(38.3434574, 26.553613)"
Ville de Lausanne,Switzerland,Lausanne,,2016,Other: Energy and mobility,CO2,2005,585531,20,2020,already reached,"(46.5198, 6.6335)"
Ville de Monaco,Monaco,Monaco,,2016,,Scope 1,1990,107940,30,2020,Kyoto Protocol - Second period,"(43.737411, 7.420816)"
Ville de Monaco,Monaco,Monaco,,2016,,Scope 1,1990,107940,22,2020,Kyoto Protocol - QUELRO 2012-2020,"(43.737411, 7.420816)"
City of Gdynia,Poland,Gdynia,,2016,Total,,,,20,2020,"Gdynia has the Low Emission Economy Plan 2015-2020. Up to 2020 Gdynia declared to reduce the emission of CO2 by 20%, to reduce the consumption of  the final energy by 28% and to increase power installed renewable energy sources by 14 MW.","(54.51889, 18.530541)"
Ayuntamiento de Madrid,Spain,Madrid,C40,2016,Total,Total,2005,11527000,35,2020,,"(40.1076253, -3.3875673)"
Ayuntamiento de Madrid,Spain,Madrid,C40,2016,Total,Total,1990,12653000,20,2020,,"(40.1076253, -3.3875673)"
Ayuntamiento de Madrid,Spain,Madrid,C40,2016,Transport,Road transport,2011,2367000,20,2020,,"(40.1076253, -3.3875673)"
Basel-Stadt,Switzerland,Basel-Stadt,C40,2016,Total,20% Reduction till 2020 opposite to 1990,1990,1108030,20,2020,Swiss federal law CO2,"(47.5619, 7.5928)"
Basel-Stadt,Switzerland,Basel-Stadt,C40,2016,Total,100% climate neutral administration in Basel-City. CO2.,2008,,100,2030,http://www.2000-watt.bs.ch/en/pilotregion_basel- 2/schwerpunkt-bauen/klimaneutrale-verwaltung.htm,"(47.5619, 7.5928)"
City of Amsterdam,Netherlands,Amsterdam,C40,2016,Total,within city boudaries,1990,3417000,40,2025,,"(52.370216, 4.895168)"
City of Amsterdam,Netherlands,Amsterdam,C40,2016,Total,within city boundaries,1990,3417000,75,2040,,"(52.370216, 4.895168)"
City of Cape Town,South Africa,Cape Town,C40,2016,Total,"The City has an Energy2040 Vision where it  aims to improve efficiency in electricity and transport, as well as cleaner electricity supply.",2012,20550172,13,2020,"The targets are set s in the City’s Energy and Climate Action Plan (ECAP) and is currently being reviewed and updated as part of the City’s Energy 2040 vision and ECAP update process, to be finalised by end 2015. Updated targets will be provided in the 2016 CDP submission. Current electricity consumption levels city-wide are below 2007 levels.","(-33.9253, 18.4239)"
City of Copenhagen,Denmark,Copenhagen,C40,2016,Total,All sources,2005,2541000,20,2015,,"(55.6760968, 12.5683371)"
City of Copenhagen,Denmark,Copenhagen,C40,2016,Total,All sources,2010,2240000,100,2025,,"(55.6760968, 12.5683371)"
City of Los Angeles,USA,Los Angeles,C40,2016,Total,City of Los Angeles,1990,36200000,45,2025,,"(34.0522342, -118.2436849)"
City of Durban,South Africa,Durban,C40,2016,Total,CO2,2006,21413906,24.5,2020,"The target of 24.5% is articulated in the municipal energy strategy (2008). However, a climate change adaptation and mitigation strategy for the city is currently being developed which will revise these targets to align with the national climate change policy.","(-29.8586804, 31.0218404)"
City of Johannesburg,South Africa,Johannesburg,C40,2016,Total,,2007,27000000,40,2040,,"(-26.2041028, 28.0473051)"
City of Oslo,Norway,Oslo,C40,2016,Total,"CO2, CH4, N2O,",1991,1200000,50,2020,"With a new City government in office from september 2015, the GHG-target was expedited from 2030 to 2020.","(59.9138688, 10.7522454)"
City of Paris,France,Paris,C40,2016,Total,all sources all scopes,2004,25000000,25,2020,To respect the European objectives by 2020 and to decrease overall emissions by 75% in 2050 compared with 2004,"(48.856614, 2.3522219)"
City of Paris,France,Paris,C40,2016,Total,all sources all scopes,2004,25000000,75,2050,,"(48.856614, 2.3522219)"
City of Paris,France,Paris,C40,2016,Total,"GPC standard, BASIC format",2004,6200000,40,2030,Signed agreement on Act2 of Covenant of Mayors,"(48.856614, 2.3522219)"
City of Stockholm,Sweden,Stockholm,C40,2016,Other,"CO2, CH4, N20 and Energy for heating and cooling, electricity use and Energy for transport",1990,3668000,24,2020,"Stockholm has a goal that by 2020 our GHG per capita should be down to 2,3 ton 2020 per person.","(59.3293235, 18.0685808)"
City of Minneapolis,USA,Minneapolis,,2016,Total,"scope 1, scope 2 and some scope 3",2006,5700000,30,2020,2025 target date,"(44.983334, -93.26667)"
City of Warsaw,Poland,Warsaw,C40,2016,Total,all sources of CO2 emissions,2007,12952984,20,2020,"The sectors included in the emissions reduction target include buildings, transport and other sectors but not waste.","(52.2296756, 21.0122287)"
Comune di Milano,Italy,Milano,C40,2016,Total,"emissions (scope 1 and 2) due to
Building heating (residential, terziary, industry, public and private)
domestic uses
other uses (tertiary, industry)
public lighting
mobility (public and private)",2005,7418,20,2020,,"(45.802578, 9.086356)"
Comune di Venezia,Italy,Venezia,C40,2016,Buildings,"Tertiary (non municipal) buildings, equipment/facilities",2005,512859,29.1,2020,"SEAP action ""free-01 - extimated CO2 reduction by 2020:    1072t""
SEAP action ""free-02 - extimated CO2 reduction by 2020:      292t""
SEAP action ""free-06 - extimated CO2 reduction by 2020:      997t""
SEAP action ""free-07 - extimated CO2 reduction by 2020: 22946t""
SEAP action ""free-08 - extimated CO2 reduction by 2020:    4347t""
SEAP action ""free-09 - extimated CO2 reduction by 2020:         97t""
SEAP action ""free-10 - extimated CO2 reduction by 2020:       772t""
SEAP action ""free-11 - extimated CO2 reduction by 2020:       132t""
SEAP action ""free-12 -extimated CO2 reduction by 2020:        166t""
SEAP action ""free-13 - extimated CO2 reduction by 2020:       477t""
SEAP action ""free-14 [1/2]- extimated CO2 reduction by 2020:  13702t""
SEAP action ""free-15 - extimated CO2 reduction by 2020:     3941t""
SEAP action ""free-16 - extimated CO2 reduction by 2020:   19020t""
SEAP action ""free-17 - extimated CO2 reduction by 2020:        168t""
SEAP action ""pure-03 - extimated CO2 reduction by 2020:  38238t""
total extimated CO2 reduction by 2020: 106367t""","(45.4332515, 12.3210704)"
Comune di Venezia,Italy,Venezia,C40,2016,Buildings,Residential buildings,2005,524145,13.1,2020,"SEAP action ""free-14 [1/2] - extimated CO2 reduction by 2020: 13704t""
SEAP action ""pure-02 - extimated CO2 reduction by 2020:        55314t""
total extimated CO2 reduction by 2020: 69018t""","(45.4332515, 12.3210704)"
Comune di Venezia,Italy,Venezia,C40,2016,Transport,Private and Commercial Transport,2005,381340,39.2,2020,"SEAP action ""move-01 - extimated CO2 reduction by 2020: 17022t""
SEAP action ""move-02 - extimated CO2 reduction by 2020:   7081t""
SEAP action ""move-03 - extimated CO2 reduction by 2020:   3559t""
SEAP action ""move-04 - extimated CO2 reduction by 2020:        62t""
SEAP action ""move-05 - extimated CO2 reduction by 2020:   3418t""
SEAP action ""move-06 - extimated CO2 reduction by 2020: 18844t""
SEAP action ""move-07 - extimated CO2 reduction by 2020:   2431t""
SEAP action ""move-08 - extimated CO2 reduction by 2020: 96412t""
SEAP action ""move-09 - extimated CO2 reduction by 2020:     600t""
SEAP action ""move-10 - extimated CO2 reduction by 2020:       37t""
SEAP action ""move-14 - extimated CO2 reduction by 2020:       68t""
total extimated CO2 reduction by 2020: 149534t""","(45.4332515, 12.3210704)"
Comune di Venezia,Italy,Venezia,C40,2016,Total,Total inventory,2005,1418344,22.9,2020,The expected reduction for Tertiary+Residential+Private and Commercial transport is: 324.919t,"(45.4332515, 12.3210704)"
Greater London Authority,United Kingdom,"London ",C40,2016,Other,CO2,1990,45000000,80,2050,Interim targets are also in place for 2025,"(51.504858, -0.078689)"
Roma Capitale,Italy,"Roma ",C40,2016,Transport,Transport,2003,4174937,23,2020,,"(41.8723889, 12.4801802)"
Roma Capitale,Italy,"Roma ",C40,2016,Buildings,Residential,2003,3593877,15,2020,,"(41.8723889, 12.4801802)"
City of St Louis,USA,St Louis,,2016,Total,,2005,7972916,80,2050,,"(38.6270025, -90.1994042)"
Roma Capitale,Italy,"Roma ",C40,2016,Other:,Tertiary,2003,3230703,0,2020,Emission for tertiary are forecasted increasing of 18%,"(41.8723889, 12.4801802)"
City of Albany,USA,Albany,,2016,Buildings,"Residential, Commercial, Industrial",2009,903226,10,2030,,"(42.6526, -73.7562)"
City of Albany,USA,Albany,,2016,Transport,,2009,276097,20,2030,,"(42.6526, -73.7562)"
City of Albany,USA,Albany,,2016,Waste,,2009,13797,10,2030,,"(42.6526, -73.7562)"
"City of Arlington, VA",USA,"Arlington, VA",,2016,Total,Community,2007,2668991,76,2050,"Arlington's community GHG emissions reduction target is to reach 3.0 metric tonnes CO2e per capita by 2050, from a 2007 baseline of 13.4 mt/capita.","(37.226486, -76.002594)"
City of Aspen and Pitkin County,USA,Aspen and Pitkin County,,2016,Other,"Scope 1
Scope 2
Scope 3",2004,762829,30,2020,,"(39.195, -106.837)"
City of Aspen and Pitkin County,USA,Aspen and Pitkin County,,2016,Other,"Scope 1
Scope 2
Scope 3",2004,762829,80,2050,,"(39.195, -106.837)"
City of Atlanta,USA,Atlanta,,2016,Buildings,city-wide control,2009,5356727,20,2020,"Benchmarking and retrofits for buildings larger than 25,000 soft","(33.7489954, -84.3879824)"
City of Atlanta,USA,Atlanta,,2016,Transport,city-wide control,2009,2300000,20,2020,"Sharing mobility strategies, TOD, and parking strategies","(33.7489954, -84.3879824)"
"City of Aurora, CO",USA,"Aurora, CO",,2016,Total,"Residential/Commercial/Industrial/Public building energy use, transportation, fuel production and shipping, water/wastewater, food, cement, agricultural, and municipal solid waste.",2007,4641240,10,2025,Buckley Air Force Base not included. Methodology developed by University of Colorado Denver,"(39.7294, -104.8319)"
City of Baltimore,USA,Baltimore,,2016,Other,"Key findings by sector provide guidance for where strategies can perhaps slow future emissions growth.
• GHG emissions from the energy sector are anticipated
to increase slightly from 79.5 percent (2010) to 79.9
percent (2020).
• The transportation-related emissions are anticipated
to decrease from 15.6 percent (2010) to 15.2 percent
(2020).
• The waste-related emissions are anticipated to remain
unchanged at 2.8 percent.
• Wastewater treatment GHG emissions are expected to
remain unchanged at 1.5 percent.
• GHG emissions from the water sector are anticipated
to remain unchanged at 0.7 percent.
All GHG emissions have been calculated and presented in
metric tons of carbon dioxide equivalent emissions per year
(MT CO2e/yr).",2010,7579144,15,2020,"Key findings by sector provide guidance for where strategies can perhaps slow future emissions growth.
• GHG emissions from the energy sector are anticipated
to increase slightly from 79.5 percent (2010) to 79.9
percent (2020).
• The transportation-related emissions are anticipated
to decrease from 15.6 percent (2010) to 15.2 percent
(2020).
• The waste-related emissions are anticipated to remain
unchanged at 2.8 percent.
• Wastewater treatment GHG emissions are expected to
remain unchanged at 1.5 percent.
• GHG emissions from the water sector are anticipated
to remain unchanged at 0.7 percent.
All GHG emissions have been calculated and presented in
metric tons of carbon dioxide equivalent emissions per year
(MT CO2e/yr).","(39.2903848, -76.6121893)"
"City of Bellingham, WA",USA,"Bellingham, WA",,2016,Total,City limits,2000,862545.1,7,2012,,"(48.74908, -122.478147)"
City of Benicia,USA,Benicia,,2016,Total,"Residential Electricity and Natural Gas Use, Commercial/Industrial Electricity and Natural Gas Use, On Road Transportation, Off Road Equipment, Waste, Water Supply, Treatment, and Delivery",2000,487035,10,2020,,"(38.049365, -122.1585777)"
City of Boulder,USA,Boulder,,2016,Total,"Electricity, natural gas, transportation, landfill",2005,1943165,80,2050,Interim targets under development.,"(40.0274, -105.2519)"
City of Hamilton,Canada,Hamilton,,2016,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712,20,2020,Targets achieved in 2011.,"(43.250021, -79.866091)"
City of Hamilton,Canada,Hamilton,,2016,Total,"Agriculture, waste, transportation, commercial, residential, industrial (not steel), industrial (steel sector)",2006,23351712,50,2030,Targets set in 2015 to follow Corporate targets and community request under Community Climate Change Action Plan 2015,"(43.250021, -79.866091)"
City of Burlington,USA,Burlington,,2016,Total,community-wide emissions,2007,401996,20,2020,"Reduction Goals

Subsequent to the completion of the 2007 GHG emissions inventory, the City established the following emissions reduction targets: 

Short-term: 
Reduction of 20% below 2007 levels by 2020 
*Equals 1.5% annual reduction until 2020 

Long-term: 
Reduction of 80% below 2007 levels by 2050 
*Equals 2% annual reduction between 2020 and 2050 

To achieve its 2020 goal, the City would have to reduce the emissions generated by its municipal operations by 4,657 tons of CO2 equivalent, while the community-wide emissions reduction would have to approach 86,485 tons of CO2 equivalent. These are not insignificant numbers, but if the City and community come together in working towards those same goals, we can surely achieve them. Exploration of new technologies, new financial incentives and/or financing schemes, as well as a general willingness and commitment to the implementation of this plan will bring success.","(44.4758825, -73.212072)"
City of Calgary,Canada,Calgary,,2016,Total,"The target applies to all emissions tracked in the inventory (electricity, natural gas, gasoline, diesel, landfill gas)",2005,15793731,20,2020,,"(51.048615, -114.070846)"
City of Calgary,Canada,Calgary,,2016,Total,"The target applies to all emissions tracked in the inventory (electricity, natural gas, gasoline, diesel, landfill gas)",1990,11871100,50,2036,Target was set as part of imagineCALGARY (a community-wide engagement in 2006 to set the 100-year sustainability vision for Calgary).,"(51.048615, -114.070846)"
City of Calgary,Canada,Calgary,,2016,Total,"The target applies to all emissions tracked in the inventory (electricity, natural gas, gasoline, diesel, landfill gas)",2005,15793731,80,2050,,"(51.048615, -114.070846)"
City of Charlotte,USA,Charlotte,,2016,Total,,Other,,100,2050,"We have a goal to be carbon neutral by 2050, and are currently working on our baseline inventory through the GPC.","(35.2271, -80.8431)"
Halifax Regional Municipality,Canada,Halifax,,2016,Total,,2002,6775289,20,2020,World Energy Cities Calgary Climate Accord,"(44.6478, -63.5714)"
City of Cleveland,USA,Cleveland,,2016,Total,All sources included in GHG inventory,2010,12791996,16,2020,"This goal is science-based and designed to be bold, yet achievable.The Climate Action Plan includes details on how much each emission reduction activity contributes to the goal.","(41.49932, -81.6943605)"
City of Cleveland,USA,Cleveland,,2016,Total,All sources included in GHG inventory,2010,12791996,40,2030,"This goal is science-based and designed to be bold, yet achievable.The Climate Action Plan includes details on how much each emission reduction activity contributes to the goal.","(41.49932, -81.6943605)"
City of Cleveland,USA,Cleveland,,2016,Total,All sources included in GHG inventory,2010,12791996,80,2050,"This goal is science-based and designed to be bold, yet achievable. The Climate Action Plan does not include detail on how much each emission reduction activity contributes. This is more of a visionary goal.","(41.49932, -81.6943605)"
City of Columbus,USA,Columbus,,2016,Total,"Solid Waste
Commercial Energy
Industrial Energy
Residential Energy
Transportation & Mobile Sources
Water and Wastewater",2013,10695080,20,2020,,"(39.9611755, -82.9987942)"
City of Denver,USA,Denver,,2016,Total,"Scope 1 & 2 community emissions from residential & commercial buildings, public infrastructure, transportation, waste and water/wastewater.",1990,11800000,1,2020,The goal is to get to at or below 1990 level emissions by 2020,"(39.737567, -104.9847179)"
City of Denver,USA,Denver,,2016,Total,Community emissions as reported in our GHG inventory,2005,13500000,80,2050,Denver is utilizing a 2005 baseline for our long term goal as there were more robust data available in 2005 compared to 1990.,"(39.737567, -104.9847179)"
City of Durham,USA,Durham,,2016,Other,"commercial buildings, residential buildings, industrial buildings, transportation",2006,7091648,30,2030,This is for all of Durham County.,"(35.994, -78.8986)"
City of Edmonton,Canada,Edmonton,,2016,Total,Total greenhouse gas emissions within City of Edmonton Boundary,2005,15862000,35,2035,Overall TCO2e reduction,"(53.544389, -113.4909267)"
City of Eugene,USA,Eugene,,2016,Other,"Gasoline, Diesel, Natural Gas, Electricity",1990,911965,10,2020,"Goal does not speak to the exact emission sources targeted, but these are the primary sources called out in the 2005 inventory - so would be the assummed target GHGs","(44.0519, -123.0867)"
City of Eugene,USA,Eugene,,2016,Other,"Gasoline, Diesel, Natural Gas, Electricity",1990,911965,75,2050,"Goal does not speak to the exact emission sources targeted, but these are the primary sources called out in the 2005 inventory - so would be the assummed target GHGs","(44.0519, -123.0867)"
