Organization,CityName,Country,Region,C40,ReportingYear,Boundary,GasesIncluded,TotalCityWideEmissions,Comment,IncreaseDecreaseLastYear,ReasonForIncreaseDecrease,Population,PopulationYear,CityGDP,GDPCurrency,GDPYear,GDPSource,AverageAnnualTemperature,​AverageAltitude,​LandArea,CityLocation
City of Lahti,Lahti,Finland,Europe,,2017,Administrative boundary of a local government,CO2; CH4; N2O,717200,"Energy production CHP, process power, wastes and waste water calculations quite high level of confidence. Traffic calculation is based on national LIISA model, not actual emissions. Separate heating, industrial machinery, agriculture and its energy use are not so high level of confidence, because information harder to find .and emission calculatios are based on statistics. Calculations are made with national tool called KASVENER (2007), but with updated GWP factors.",Decreased,Decreased from baseline year 1990. New waste gasification plant 2012 and collecting separate energy waste from citizens. Effective waste water treatment with collecting biogas before composting the sludge. Effective and energy-efficient waste and biowaste collection and treatment (new biogas plant 2014). Better energy effiency in buildings.,119452,2016,6225000000,EUR     Euro,2014,"http://www.tilastokeskus.fi/tup/suoluk/suoluk_vaesto.html#maakuntienpinta-ala,väestöjabruttokansantuote",4.4,90,459.4,"(60.9833, 25.65)"
City of Greensboro,Greensboro,USA,North America,,2017,Administrative boundary of a local government,CO2,4467691,,Decreased,"The inventory prepared in 2015 (based on 2013 data) indicated a decrease in GHG emissions compared with the prior inventory prepared in 2010 (based on 2007 data).  The 2007 inventory found that a total of 5,365,412 tons of CO2e​ were emitted in Greensboro.  The 2013 inventory showed a decrease of 897,721 tons to 4,467,691 tons of CO2e.

Among the factors found to be contributing to this reduction were:  1) greater energy efficiency and conservation in the residential and commercial sectors; 2) reduced number of industrial operations that are highly energy intensive; 3) conversion of Duke Energy's power generation plant fleet away from coal-fired units to natural gas fired units; and 4) reduced total motor vehicle miles traveled in Greensboro.

Additional factors that may have influenced this reduction include:  1) the national economic recession, during which many commercial and industrial sectors experienced significant contractions, many workers were unemployed, and many households downsized to smaller less energy consuming dwellings; and 2) the Better Buildings for Greensboro program, which received $4.7M through American Recovery and Reinvestment Act of 2009.  The program provided:  a) free compact fluorescent lightbulbs, b) low-flow showerheads, c) Kill-A-Watt energy usage meters, d) home energy efficiency audits e) low-interest financing for purchase of energy-efficient appliances, f) energy bill rebates for home energy-efficiency upgrades, and g) funding for energy-efficiency upgrades to business and government buildings.",287027,2017,,,,,15,272,346.5,"(36.072635, -79.791975)"
City of Turku,Turku,Finland,Europe,,2017,Administrative boundary of a local government,CO2; CH4; N2O,840800,See answer to question C1.13a. Inventory report is available only in Finnish.,Decreased,Due to weather conditions the demand for heat was low. In Finland the emission factor for electricity was low. Also other sectors decreased.,187000,2016,8700000000,USD     US Dollar,2012,Statistics Finland,5.5,10,246,"(60.4518126, 22.2666303)"
City of Iowa City,"Iowa ",USA,North America,,2017,Administrative boundary of a local government,,1045993,,Decreased,"Our utility provider, MidAmerican Energy is moving towards 100% renewables for electricity. The University of Iowa has increased the use of biofuels in their power plant and the City has increased energy efficiency standards in the building code. The population of Iowa City has increased, but the per capita emissions have decreased since we have been tracking emissions.",74220,2015,8564000000,USD     US Dollar,2013,BEA-for Metropolitan Statistical Area,10.5,203,65.5,"(41.6611, -91.5302)"
City of Savannah,Savannah,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,3609546,"Inventory contains information on in-boundary transportation (transit, passenger, freight), electricity generation (residential, commercial and industrial) and stationary fuel combustion (residential, commercial and industrial).  All water and waste related emissions are already included in the municipal inventory.",This is our first year of calculation,,145674,2015,15905000000,USD     US Dollar,2014,Bureau of Economic Analysis:  http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=42340&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels,19,15,175,"(32.0835, -81.0998)"
City of Brownsville,Brownsville,USA,North America,,2017,Administrative boundary of a local government,,2165653,,Other: Change in boundary,This year's emissions inventory includes new sources and improved methodology. At this time the appropriate base line adjustments have not been made so the cause of the decreased emissions is unknown. The base line adjustments will be made this year to determine the reason for the change.,183887,2015,8631000000,USD     US Dollar,2013,U.S. Bureau of Economic Analysis,23.6,11,378.1,"(25.9017, -97.4975)"
City of Salvador,Salvador,Brazil,Latin America,C40,2017,Administrative boundary of a local government,,3661647,,,,2902927,2014,4745,,2012,IBGE,26,8,692,"(-12.97304, -38.502304)"
City of Houston,Houston,USA,North America,C40,2017,Administrative boundary of a local government,CO2; CH4; N2O,33428301,Medium Confidence,Stayed the same,"We are using the same inventory we submitted last year, and that was our first year conducting a community-wide GHG inventory using the ICLEI Community Protocol.",2296224,2015,503300000000,USD     US Dollar,2015,http://www.houston.org/assets/pdf/economy/EmploymentForecast-2017-web.pdf,19,15,1625,"(29.7601927, -95.3693896)"
Batangas City,Batangas,Philippines,South Asia and Oceania,,2017,Administrative boundary of a local government,CO2; CH4; N2O,657636,N/A,Increased,A 25% increase in the GHG emissions from 2010 were identified. Increase in economic activities and population was the main reason of emissions change.,354170,2016,,,,,26,10,285,"(13.7565, 121.0583)"
City of Winnipeg,Winnipeg,Canada,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,5379024,Emission inventory was conducted and verified by an external third-party consultant,Increased,"Since our last GHG inventory in 1998, total GHG emissions have risen 2.31%, which can be largely attributed to increases in vehicle & transit sectors, as well as waste collection, water & wastewater sectors. Conversely, building electricity and natural gas usage demonstrates dramatic decreases since 1998.",735600,2016,36000000000,CAD     Canadian Dollar,2015,Economic Development Winnipeg,2.4,230,464,"(49.8997541, -97.1374937)"
"City of Piedmont, CA","Piedmont, CA",USA,North America,,2017,Other,,,,Decreased,"They have decreased due to a decrease in electricity and gas usage usage in the residential sector as well an increased renewable-generated portfolio of electricity sources, specifically hydropower.",11082,2013,360400000000,USD     US Dollar,2013,San Francisco/Oakland/Hayward Metropolitan Area GDP: http://www.usmayors.org/metroeconomies/2013/201311-charts.pdf,15,101,4.3,"(37.8244, -122.2316)"
Greater Amman Municipality,"Amman ",Jordan,South and West Asia,C40,2017,A metropolitan area,CO2; CH4; N2O,7215407,"Much of the data is not collected by the city, but is based on national figures. Transport data is estimated using VISUM traffic model.",This is our first year of calculation,GHG Inventory will be updated by July 2017,3705490,2016,11202000000,JOD     Jordanian Dinar,2015,Ministry of Energy and Mineral Resources,17,900,800,"(31.945367, 35.928372)"
City of Indianapolis,Indianapolis,USA,North America,,2017,Administrative boundary of a local government,CO2,2160365,"The data was collected through the Hestia Project by researchers at Purdue University and collaborators. It is based on direct measurements (with monitors and aircraft) and extensive modeling (hestia.project.asu.edu/). Note that this analysis does not does not compare directly to other protocols and does not necessarily include all scope 2 emissions. Indianapolis is working on a GPC inventory as well. Though the reported number has been tested and reported through peer-reviewed journals, there is limited confidence in the comparability to other cities. Published in Environmental Science and Technology by Kevin R. Gurney, Igor Razlivanov, Yang Song, Yuyu Zhou, Bedrich Benes,and Michel Abdul-Massihhttp://hestia.project.asu.edu/uploads/Gurney.ES&T.2012.final.proof.pdf",This is our first year of calculation,,853000,2015,125000000000,USD     US Dollar,2014,Note this is Metro-area based: http://bea.gov/newsreleases/regional/gdp_metro/2014/pdf/gdp_metro0914.pdf,11.7,230,953,"(39.767625, -86.178469)"
City of Baltimore,Baltimore,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,7230859,"medium/high. High confidence in stationary energy combustion and transportation emissions. Medium confidence in solid waste emissions (landfill waste emissions) due to proxy for landfill waste characterization, assumptions made for landfill gas capture system efficiency. High confidence about incineration activities in the City due to directly monitored emissions data received from EPA",Increased,"Natural gas consumption decreased in residential sector but increased in commercial and industrial sectors. Electricity consumption increased across the board. Even though electricity emissions factors decreased in 2014, the increase in electricity consumption offset improvements in emissions factors. On-road and rail activity increased. Solid waste generation decreased slightly due to increased diversion of waste from the landfill but waste water generation increased.",614664,2016,43700000000000,USD     US Dollar,2016,National Association of Counties/U.S. Bureau of Economic Analysis,14.7,240,210,"(39.2903848, -76.6121893)"
City of Stockholm,Stockholm,Sweden,Europe,C40,2017,Administrative boundary of a local government,,1796590,,Decreased,"Total emissions from the categories in Stockholm estimates at system boundaries have been reduced significantly over the past 10 years. Meanwhile, the population has grown by about 200 000 inhabitants. In Stockholm, it can be said that the reduction in per capita emissions by half will depend on the actual response, half of the population growth.
The greenhouse gas emissions in Stockholm is calculated to 2.5 tonnes per capita in 2015, which can be compared to 2.6 tonnes per capita in 2014. Energy use for heating has decreased, which is due to energy efficiency measures and conversions (from oil to heat pumps). Stockholm has a clear reduction of the energy supply per capita for heating sector. Electricity use is however quite constant. The car traffic is constant in the last years even though the population has increased. However, there has been an increase in truck traffic. The overall greenhouse gas emissions from transportation is constant over the last years.",923516,2015,416797,,2013,GDP is in (ppp)(mllion) source: Statistics Sweden,7,50,216,"(59.3293235, 18.0685808)"
City of Paris,Paris,France,Europe,C40,2017,Administrative boundary of a local government,,5489249,,Decreased,"Thanks to Paris' climate change policy especially on sustainable mobility, social housing retrofitting, etc...",2265886,2015,256000000000,EUR     Euro,2015,national governement,13.5,26,105,"(48.856614, 2.3522219)"
Ho Chi Minh City,Ho Chi Minh,Vietnam,South Asia and Oceania,C40,2017,Administrative boundary of a local government,CO2; PFCs; CH4; SF6; N2O; HFCs,30012000,"This inventory is mere a preliminary calculation and still lacks reliable data of some sectors, especially industrial processes and fuel consumption. Therefore, it has not been officially published yet.",This is our first year of calculation,Ho Chi Minh City has not conducted any other inventory yet.  We are conducting for 2014 and 2015 GHGs inventory but the results will be available in the end of 2017,8244400,2015,,VND     Vietnamese đồng,2016,HCMC People's Committee,27,6,2095,"(10.762622, 106.660172)"
Middelfart Kommune,Middelfart,Denmark,Europe,,2017,Administrative boundary of a local government,,,,,,38093,2017,2190900000,DKK     Danish Krone,2016,,8,21,299.5,"(55.470958, 9.872643)"
"City of Somerville, MA","Somerville, MA",USA,North America,,2017,Administrative boundary of a local government,,598143,,This is our first year of calculation,,78900,2014,,,,,11,4,10.3,"(42.393449, -71.082647)"
City of Fort Collins,Fort Collins,USA,North America,,2017,Administrative boundary of a local government,,2042310,,This is our first year of calculation,"This is the first year that the City of Fort Collins is reporting to GPC-compliant emissions to CDP and as such, no previous years can be referenced here. While still using the ICLEI Community Protocol, the City found that its emissions had decreased 1% point below 2015 and 12% below 2005 baseline levels.",161000,2016,14057000000,USD     US Dollar,2015,Bureau of Economic Analysis,10,1525,147,"(40.5853, 105.0844)"
"City of Portland, ME","Portland, ME",USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,1142797,This is a dated document,,,66666,2014,,,,,13,6,55,"(43.6615, -70.2553)"
City of Windsor,Windsor,Canada,North America,,2017,Administrative boundary of a local government,,1898713,,Decreased,"Community emissions have decreased between 2011 and 2014.  The largest sources of declines were in Industrial, Commercial, Institutional emissions and can likely be credited in no small part to efficiency improvements and the Province's closing of coal fired electricity generation.  The Province of Ontario made a commitment in 2002 to close all coal fired-electricity plants by 2015.  In 2014, the last coal fired electricity generation plant was closed in Ontario.",217188,2016,12800000000,CAD     Canadian Dollar,2016,City Economic Development Planning,10.7,190,146.3,"(42.314937, -83.036363)"
Ayuntamiento de  Chihuahua,Chihuahua,Mexico,Latin America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,14330261,Datos obtenidos de estadísticas de INEGI y en algunos casos no existe registros historicos.,This is our first year of calculation,,841490,2015,2,MXN     Mexican Peso,2014,INEGI,17,1437,8384,"(28.636857, -106.076272)"
City of Phoenix,Phoenix,USA,North America,,2017,Administrative boundary of a local government,,15895005,,This is our first year of calculation,For Item C1.9b the Spreadsheet is still draft and will be available to meet Covenant of Mayor's 2017 deadline in July.,1537058,2015,197193000000,USD     US Dollar,2015,US Bureau of Economic Analysis,22,340,1355,"(33.4484, -112.074)"
City of Medford,Medford,USA,North America,,2017,Administrative boundary of a local government,,410305,,This is our first year of calculation,,57437,2014,,,,,9.6,4,22.4,"(42.3265, -122.8756)"
Hobart City Council,Hobart,Australia,South Asia and Oceania,,2017,Administrative boundary of a local government,CO2,338925,Medium to High - the results align with previous CCP ICLEI reporting. The methodology is being piloted by the City of Hobart and is being tested with a range of different councils energy use profiles,Decreased,"•	Over the last five years energy use has declined by 8%. This is consistent with other studies which find that the Tasmanian economy becoming less energy intensive over time .
•	There has been less electricity use per residential household in recent years. Commonwealth energy efficiency programs (such as appliance labelling), energy price increases and increased consumer awareness have helped to keep electricity use down.
•	Commercial energy use has decreased by 5%, mainly due reduced electricity use per business 
•	As a result, greenhouse gas emissions have reduced by 8% since 2010-11.",50655,2016,,AUD     Australian Dollar,,,12,9,7791,"(-42.890054, 147.281446)"
Hoeje-Taastrup Kommune,Hoeje-Taastrup,Denmark,Europe,,2017,Administrative boundary of a local government,,275461,,Decreased,"From 390.000 ton CO2 in 2009. Energy conservation activities, conversion from oil and electricity heating to district heating, less fossil fuel in the combined heat and power production as well as in the district heating",49960,2016,25636374480,DKK     Danish Krone,2012,Danmarks Statistik,8.1,27,78,"(55.656328, 12.2898)"
City of Santa Monica,Santa Monica,USA,North America,,2017,Administrative boundary of a local government,,1110480,,Decreased,"State renewable portfolio standard, low carbon fuel standard, electric vehicles, 15 x 15 Action Plan",92000,2014,,,,,20,320,20,"(34.0219, -118.4814)"
City of Cincinnati,Cincinnati,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,7318055,"We are confident in our results, but they have not been third party verified.",Decreased,"Emissions over all have gone down as a whole but emissions have gone up in Transportation & Mobile Sources and Industrial Energy. The reduction can be attributed to: Incentives for commercial energy upgrades offered by Duke, grid decarbonization, 100% Renewable energy offered to residents and businesses through the City’s Energy Aggregation Program, population loss from 2006 to 2015 (approximately 10%), and improved waste diversion.",298550,2015,127057000000,USD     US Dollar,2015,Bureau of Economic Analysis U.S. Department of Commerce,13,168,124,"(39.1031, -84.512)"
"City of London, ON","London, ON",Canada,North America,,2017,Administrative boundary of a local government,,3160000,"Emissions related to electricity and natural gas are based on utility data by customer class. Emissions related to gasoline and diesel use by households are primarily based on retail sales of fuel data, whereas fuel used by freight transportation and local corporate fleets are prorated from provincial data by population.",Decreased,"Total greenhouse gas emissions from London have decreased compared to the peak in 2007. In 2015, greenhouse gas emissions were 18 percent lower than 2007. In fact, London's emissions in 2015 were eight percent lower than the 1990 level used to benchmark Ontario's emission reduction efforts.

Greenhouse gas emissions associated with electricity are significantly lower in 2014 (about 80 percent) than their peak in 2003. In 2014, Ontario's coal-fired power plants were shut down. In 2015, 90 percent of Ontario's electricity demand was met with emissions-free generation: 60 percent nuclear, 24 percent hydroelectric, 6 percent wind and other renewables.

Conservation and peak demand reduction programs also contribute to lower emissions from power generation. Unfortunately, lower demand from the impact of the Recession on the local manufacturing sector also contributes to lower emissions.",381000,2015,16000000000,CAD     Canadian Dollar,2015,"Conference Board of Canada, London Census Metropolitan Area data prorated by population and adjusted to 2007",7.9,251,421,"(42.9837, -81.2497)"
Bogotá Distrito Capital,"Bogotá ",Colombia,Latin America,C40,2017,A metropolitan area,CO2; PFCs; CH4; SF6; N2O; HFCs,17672009,The related calculations refer to the 2008 and 2012 inventory projections.,Increased,"The reported emissions increase because the information is based on the projection of the 2008 and 2012 GHG Inventories, taking into account the growth of the evaluated variables, which have an upward trend according to the behavior of the last years.",7980001,2016,35600000000000,COP     Colombian Peso,2016,NATIONAL STATISTICS DEPARTMENT (DANE in Spanish),14,2641,1587,"(4.711, -74.0721)"
Addis Ababa City Administration,Addis Ababa,Ethiopia,Africa,C40,2017,Administrative boundary of a local government,,5043860,,This is our first year of calculation,lack of capacity,3800000,2013,,ETB     Ethiopian Birr,,,,2650,540,"(9.028874, 38.754366)"
Taichung City Government,Taichung,Taiwan,East Asia,,2017,Administrative boundary of a local government,,13668164.44,,Increased,"The city is growing in population, industry and transportation.",2750000,2016,22635,USD     US Dollar,2016,Financial Bureau,23,,2215,"(24.161859, 120.646967)"
Comune di Firenze,Firenze,Italy,Europe,,2017,Administrative boundary of a local government,CO2,1630308,A complete data collection following a bottom-up approach has been used to calculate the fuel consumption in the city; standard IPCC emission factors and local factor for electricity production supported the calculation of the consequent emissions inventory,Decreased,Becouse of the implementation of the SEAP action,377635,2017,31769,EUR     Euro,2015,per capita data from Unioncamere - ISTAT,15.2,50,102.4,"(43.7696, 11.2558)"
Town of Blacksburg,Blacksburg,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,347483,Electricity and Natural Gas consumption are measured values however transportation figures are based on Virginia DOT's Vehicle Miles Traveled studies and estimates which may not be entirely accurate.,Decreased,"The last GHG inventory performed for the Town of Blacksburg was in 2012. Over those three years decreased emissions from electric utility provider's fuel mix has resulted in decreased emissions in the residential, commercial, industrial and public sectors. Considering the population increase it is likely that the culture of electricity use may have also lead to decreased consumption. Transportation emissions have increased by 1.39% which is likely due to the 3.29% increase in population. Wastewater emissions are significantly lower because of errors made in the previous emission calculations. Emissions from solid waste have also decreased roughly 4.4%.",44215,2015,,USD     US Dollar,,this information is not available at this geographic scale,10.8,633,51.5,"(37.2296, -80.4139)"
City of Bournemouth,Bournemouth,United Kingdom,Europe,,2017,Administrative boundary of a local government,,731230,,This is our first year of calculation,,191400,2015,,,,,14,22,108,"(50.719164, -1.880769)"
City of Roanoke,Roanoke,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,1971679,"The City of Roanoke hires local citizen Dr. Sean McGinnis, Director of Green Engineering from Virginia Tech to calculate and report on the GHG Emissions data.",Decreased,The city uses a 2005 baseline and the community emissions have decreased 13.5%. In 2014 emissions are down 4% from 2013. The primary driver of this loss is the reduction of coal in the electric fuel mix.,98465,2013,13900000000,USD     US Dollar,2013,www.roanokeva.gov,14,400,111,"(37.271, -79.9414)"
"City of Brisbane, CA","Brisbane, CA",USA,North America,,2017,A metropolitan area,CO2; CH4; N2O,148025,"Our inventory is completed by consultants contracted by the County, DVN GL.",Decreased,There was a 10% reduction between 2005 and 2010,4603,2015,,,,,15,,7.5,"(37.6808, -122.4)"
City of Reno,Reno,USA,North America,,2017,Administrative boundary of a local government,,2730235.35,,This is our first year of calculation,,236995,2014,22043000000,USD     US Dollar,2015,"Reno, NV MSA; Bureau of Economic Analysis10.4",10.4,1373,288,"(39.5296, -119.8138)"
Salt Lake City,Salt Lake City,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,4752386,,Decreased,Reduction in natural gas consumption due to warmer local winter temperatures.,192672,2015,78950000,USD     US Dollar,2015,"U.S. Department of Commerce, Bureau of Economic Analysis, GDP Regional Index by Metropolitan Area, published Sept 23, 2015",12.7,1319,287,"(40.7608, -111.891)"
Taoyuan City Government,Taoyuan,Taiwan,East Asia,,2017,Administrative boundary of a local government,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,35764526,"For level of confidence, we multiply the accuracy level of collected activity data by the accuracy level of emission coefficients used.Accuracy level classification for activity data:?H?Regional statistics data :1?M?Cities statistics data:2?L?Central statistics data:3Accuracy level classification for emission coefficients:?H?Regional emission coefficients: 1 ?M?National emission coefficients: 2?L?International emission coefficients: 3The overall result is 5.13, the score falls within range 4-7, which was classified as medium level of confidence",Increased,"Our industry is growing continuously, so our total emission is slowly increasing. The sectors with increasing emissions are: industrial energy (fuel) by 14.2%; industrial processes and product use by 12.1%; buildings and AFOLU by 3.7%. The sectors with emission reductions are: agriculture by 0.4%; industrial energy (electricity) by 0.04%.",2153521,2017,17111263000000,TWD     New Taiwan Dollar,2016,"DGBAS, Executive Yuan, Taiwan",23,,1220.9,"(24.993113, 121.301028)"
Mexico City,Mexico City,Mexico,Latin America,C40,2017,"Other: the inhabitants, commercial establishments, services and industries located in the territory of Mexico City area",,30870170.39,,Increased,"•	Stationary Energy,  SCOPE 1 :Emission factors of commerce & services, were reassigned according to the combustion equipment characteristics, SCOPE 3: the percentage of T&D losses from energy imported were actualized to 2014.
•	Transportation sector, On road transport : we change the estimating model for vehicle emissions from Mobile6-Mexico to MOVES-México.
•	IPPU and Other SCOPE 3, the consumption of HFC's for automobile air conditioning were actualized.",8874724,2014,2255223000000,MXN     Mexican Peso,2014,INEGI,16,2240,1485,"(19.4326077, -99.133208)"
City of Saskatoon,Saskatoon,Canada,North America,,2017,Administrative boundary of a local government,,3493456,,Increased,"Emissions have increased due to the lack of a coordinated approach to reduce GHG emissions. The City continues to improve methodology, and report emissions from additional sectors such as Agriculture emissions and estimate from IPPU. Methodology for the next inventory is expected to also include urban forestry and land use.  The city continues to experienced steady growth, which has pushed absolute emissions higher.",265300,2016,17400000000,CAD     Canadian Dollar,2016,Saskatoon Regional Economic Authority,2,482,233,"(52.133214, -106.670046)"
Prefeitura Niterói,Niterói,Brazil,Latin America,,2017,Administrative boundary of a local government,,1729602,,Other:,"O reporte do primeiro ano inventariado (2015) teve início no segundo semestre de 2016 e ainda encontra-se no estágio revisão. Por tal motivo, a prefeitura ainda irá estruturar na sequência o mapeamento de vulnerabilidades, bem como o plano de redução de emissões, adaptação e mitigação.",497883,2016,19908,BRL     Brazilian Real,2013,Ministério da Saúde - DATASUS,23,5,133.1,"(-22.892857, -43.118381)"
