Organisation,CountryName,CityName,C40,ReportingYear,Sector,TargetBoundary,BaselineYear,BaselineEmissions,PercentageReductionTarget,TargetDate,Comment,CityLocation,Country,CityName.1,MeasurementYear,Boundary,PrimaryMethodology,MethodologyDetails,GasesIncluded,TotalCityWideEmissions,IncreaseDecreaseLastYear,ReasonForIncreaseDecrease,PopulationYear,CurrentPopulation,CityGPP,GDPCurrency,GDPYear,GDPSource,AverageAnnualTemperature,​LandArea,AverageAltitude,Organization,Region,Population,CityGDP,​AverageAltitude,Access,TypeOfTarget,Target date,EstimatedBAUAbsoluteEmissions,​IntensityUnit,Questionnaire,AssessmentAttachmentOrDirectLink,BoundaryAssessment,YearOfPublicationOrApproval,FactorsConsidered,PrimaryAuthors,AdaptionGoalOrPlan,LastUpdate
Landeshauptstadt Magdeburg,Germany,Landeshauptstadt Magdeburg,,2016.0,Total,,1990,3955000.0,95.0,2050.0,"GHG sources to
which the target applies:
CO2-City-wide

Solutions of the municipal council","(52.08889, 11.586164)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Landeshauptstadt Magdeburg,Germany,Landeshauptstadt Magdeburg,,2016.0,Total,,2012,1406000.0,86.0,2050.0,"GHG sources to
which the target applies:
CO2-City-wide

Solutions of the municipal council","(52.08889, 11.586164)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Município de Moita,Portugal,Moita,,2016.0,Total,Entire local government inventory,2008,15177.0,20.0,2020.0,,"(41.30284, -8.65731)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonderborg Kommune,Denmark,Sonderborg Kommune,,2016.0,Total,,2007,180500.0,25.0,2015.0,,"(54.913811, 9.792178)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonderborg Kommune,Denmark,Sonderborg Kommune,,2016.0,Total,,2007,361000.0,50.0,2020.0,,"(54.913811, 9.792178)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonderborg Kommune,Denmark,Sonderborg Kommune,,2016.0,,,2007,722000.0,100.0,2029.0,,"(54.913811, 9.792178)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Ann Arbor,USA,Ann Arbor,,2016.0,,,2000,,25.0,2025.0,,"(42.2808, -83.743)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stadt Zürich,Switzerland,Stadt Zürich,,2016.0,Other,Baseline emissions: 5.5 tonnes CO2e per person per year (in the year 2005); according to 2000-Watt-methodology,2005,,28.0,2020.0,"The baseline emission and the target emission are measured in tonnes CO2e per person per year.

Target for 2050: 1.0 tonnes CO2e per person (18% of 2005)
Target for 2035: 2.5 tonnes CO2e per person (45% of 2005)
Target for 2020: 4.0 tonnes CO2e per person (72% of 2005)","(47.3686498, 8.5391825)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stadt Zürich,Switzerland,Stadt Zürich,,2016.0,,,2005,,55.0,2035.0,,"(47.3686498, 8.5391825)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stadt Zürich,Switzerland,Stadt Zürich,,2016.0,,,2005,,82.0,2050.0,,"(47.3686498, 8.5391825)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Oslo,Norway,Oslo,C40,2016.0,Total,"CO2, CH4, N2O,",1991,1200000.0,95.0,2030.0,"With a new City government in office from september 2015, the GHG-target was expedited from 2050 to 2030.","(59.9138688, 10.7522454)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarnów,Poland,Tarnów,,2016.0,Total,"Reduction of GHG, mainly CO2 by lowering energy use and more efficient use of renewable energy sources. It applies to investment processes and other, in sectors such as: exploitation of private and public buildings, city lights and public transport functions, municipal economy and industry, local power engineering, both conventional and based on renewable energy sources.",2013,20232.0,8.46,2020.0,Data based on plan mentioned in 7.1. a - row 3,"(50.012101, 20.985841)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tbilisi City,Georgia,Tbilisi,,2016.0,,transport; buildings; outdoor lighting; landfills; Waste water; gas & electricity distribution.,2010,,24.0,2020.0,,"(41.715138, 44.827096)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hague,Netherlands,The Hague,,2016.0,"Other: Domestic buildings, industry and other businesses (including non-domestic buildings), traffic and waste treatment.",,1990,2499.0,30.0,2020.0,,"(52.070498, 4.3007)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hague,Netherlands,The Hague,,2016.0,"Other: Domestic buildings, industry and other businesses (including non-domestic buildings), traffic and waste treatment.",,1990,2499.0,100.0,2040.0,,"(52.070498, 4.3007)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Minneapolis,USA,Minneapolis,,2016.0,Total,"scope 1, scope 2 and some scope 3",2006,5700000.0,15.0,2015.0,,"(44.983334, -93.26667)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torres Vedras Municipality,Portugal,Torres Vedras ,,2016.0,Total,"Transports, buildings, local energy production",2009,268064.0,29.0,2020.0,"Torres Vedras SEAP is an integrated plan to reduce emissions of the community and local government operations, the amount provided for emission reduction is a global value. In the plan are set 61 actions for the community and the local government operations.","(38.763669, -9.30148)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Village of Kadiovacik,Turkey,Kadiovacik,,2016.0,Total,,2014,467.45,4.0,2016.0,,"(38.3434574, 26.553613)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ville de Lausanne,Switzerland,Lausanne,,2016.0,Other: Energy and mobility,CO2,2005,585531.0,20.0,2020.0,already reached,"(46.5198, 6.6335)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ville de Monaco,Monaco,Monaco,,2016.0,,Scope 1,1990,107940.0,30.0,2020.0,Kyoto Protocol - Second period,"(43.737411, 7.420816)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ville de Monaco,Monaco,Monaco,,2016.0,,Scope 1,1990,107940.0,22.0,2020.0,Kyoto Protocol - QUELRO 2012-2020,"(43.737411, 7.420816)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Gdynia,Poland,Gdynia,,2016.0,Total,,,,20.0,2020.0,"Gdynia has the Low Emission Economy Plan 2015-2020. Up to 2020 Gdynia declared to reduce the emission of CO2 by 20%, to reduce the consumption of  the final energy by 28% and to increase power installed renewable energy sources by 14 MW.","(54.51889, 18.530541)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayuntamiento de Madrid,Spain,Madrid,C40,2016.0,Total,Total,2005,11527000.0,35.0,2020.0,,"(40.1076253, -3.3875673)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayuntamiento de Madrid,Spain,Madrid,C40,2016.0,Total,Total,1990,12653000.0,20.0,2020.0,,"(40.1076253, -3.3875673)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayuntamiento de Madrid,Spain,Madrid,C40,2016.0,Transport,Road transport,2011,2367000.0,20.0,2020.0,,"(40.1076253, -3.3875673)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basel-Stadt,Switzerland,Basel-Stadt,C40,2016.0,Total,20% Reduction till 2020 opposite to 1990,1990,1108030.0,20.0,2020.0,Swiss federal law CO2,"(47.5619, 7.5928)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basel-Stadt,Switzerland,Basel-Stadt,C40,2016.0,Total,100% climate neutral administration in Basel-City. CO2.,2008,,100.0,2030.0,http://www.2000-watt.bs.ch/en/pilotregion_basel- 2/schwerpunkt-bauen/klimaneutrale-verwaltung.htm,"(47.5619, 7.5928)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Amsterdam,Netherlands,Amsterdam,C40,2016.0,Total,within city boudaries,1990,3417000.0,40.0,2025.0,,"(52.370216, 4.895168)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Amsterdam,Netherlands,Amsterdam,C40,2016.0,Total,within city boundaries,1990,3417000.0,75.0,2040.0,,"(52.370216, 4.895168)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Cape Town,South Africa,Cape Town,C40,2016.0,Total,"The City has an Energy2040 Vision where it  aims to improve efficiency in electricity and transport, as well as cleaner electricity supply.",2012,20550172.0,13.0,2020.0,"The targets are set s in the City’s Energy and Climate Action Plan (ECAP) and is currently being reviewed and updated as part of the City’s Energy 2040 vision and ECAP update process, to be finalised by end 2015. Updated targets will be provided in the 2016 CDP submission. Current electricity consumption levels city-wide are below 2007 levels.","(-33.9253, 18.4239)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Copenhagen,Denmark,Copenhagen,C40,2016.0,Total,All sources,2005,2541000.0,20.0,2015.0,,"(55.6760968, 12.5683371)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Copenhagen,Denmark,Copenhagen,C40,2016.0,Total,All sources,2010,2240000.0,100.0,2025.0,,"(55.6760968, 12.5683371)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Los Angeles,USA,Los Angeles,C40,2016.0,Total,City of Los Angeles,1990,36200000.0,45.0,2025.0,,"(34.0522342, -118.2436849)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Durban,South Africa,Durban,C40,2016.0,Total,CO2,2006,21413906.0,24.5,2020.0,"The target of 24.5% is articulated in the municipal energy strategy (2008). However, a climate change adaptation and mitigation strategy for the city is currently being developed which will revise these targets to align with the national climate change policy.","(-29.8586804, 31.0218404)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Johannesburg,South Africa,Johannesburg,C40,2016.0,Total,,2007,27000000.0,40.0,2040.0,,"(-26.2041028, 28.0473051)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Oslo,Norway,Oslo,C40,2016.0,Total,"CO2, CH4, N2O,",1991,1200000.0,50.0,2020.0,"With a new City government in office from september 2015, the GHG-target was expedited from 2030 to 2020.","(59.9138688, 10.7522454)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Paris,France,Paris,C40,2016.0,Total,all sources all scopes,2004,25000000.0,25.0,2020.0,To respect the European objectives by 2020 and to decrease overall emissions by 75% in 2050 compared with 2004,"(48.856614, 2.3522219)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Paris,France,Paris,C40,2016.0,Total,all sources all scopes,2004,25000000.0,75.0,2050.0,,"(48.856614, 2.3522219)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Paris,France,Paris,C40,2016.0,Total,"GPC standard, BASIC format",2004,6200000.0,40.0,2030.0,Signed agreement on Act2 of Covenant of Mayors,"(48.856614, 2.3522219)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Stockholm,Sweden,Stockholm,C40,2016.0,Other,"CO2, CH4, N20 and Energy for heating and cooling, electricity use and Energy for transport",1990,3668000.0,24.0,2020.0,"Stockholm has a goal that by 2020 our GHG per capita should be down to 2,3 ton 2020 per person.","(59.3293235, 18.0685808)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Minneapolis,USA,Minneapolis,,2016.0,Total,"scope 1, scope 2 and some scope 3",2006,5700000.0,30.0,2020.0,2025 target date,"(44.983334, -93.26667)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Warsaw,Poland,Warsaw,C40,2016.0,Total,all sources of CO2 emissions,2007,12952984.0,20.0,2020.0,"The sectors included in the emissions reduction target include buildings, transport and other sectors but not waste.","(52.2296756, 21.0122287)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Milano,Italy,Milano,C40,2016.0,Total,"emissions (scope 1 and 2) due to
Building heating (residential, terziary, industry, public and private)
domestic uses
other uses (tertiary, industry)
public lighting
mobility (public and private)",2005,7418.0,20.0,2020.0,,"(45.802578, 9.086356)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Venezia,Italy,Venezia,C40,2016.0,Buildings,"Tertiary (non municipal) buildings, equipment/facilities",2005,512859.0,29.1,2020.0,"SEAP action ""free-01 - extimated CO2 reduction by 2020:    1072t""
SEAP action ""free-02 - extimated CO2 reduction by 2020:      292t""
SEAP action ""free-06 - extimated CO2 reduction by 2020:      997t""
SEAP action ""free-07 - extimated CO2 reduction by 2020: 22946t""
SEAP action ""free-08 - extimated CO2 reduction by 2020:    4347t""
SEAP action ""free-09 - extimated CO2 reduction by 2020:         97t""
SEAP action ""free-10 - extimated CO2 reduction by 2020:       772t""
SEAP action ""free-11 - extimated CO2 reduction by 2020:       132t""
SEAP action ""free-12 -extimated CO2 reduction by 2020:        166t""
SEAP action ""free-13 - extimated CO2 reduction by 2020:       477t""
SEAP action ""free-14 [1/2]- extimated CO2 reduction by 2020:  13702t""
SEAP action ""free-15 - extimated CO2 reduction by 2020:     3941t""
SEAP action ""free-16 - extimated CO2 reduction by 2020:   19020t""
SEAP action ""free-17 - extimated CO2 reduction by 2020:        168t""
SEAP action ""pure-03 - extimated CO2 reduction by 2020:  38238t""
total extimated CO2 reduction by 2020: 106367t""","(45.4332515, 12.3210704)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comune di Venezia,Italy,Venezia,C40,2016.0,Buildings,Residential buildings,2005,524145.0,13.1,2020.0,"SEAP action ""free-14 [1/2] - extimated CO2 reduction by 2020: 13704t""
SEAP action ""pure-02 - extimated CO2 reduction by 2020:        55314t""
total extimated CO2 reduction by 2020: 69018t""","(45.4332515, 12.3210704)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
